#{"t_start": 1774114133.0914402, "env_id": null}
r,l,t,is_success,final_distance
-122.676582,200,23.13157,0.0,0.9039554804583332
-0.080564,1,23.132571,1.0,0.040422373288402653
-87.397096,200,23.260108,0.0,0.18805285052749549
-93.351128,200,23.729267,0.0,0.5551586820207156
-98.316725,200,23.880778,0.0,0.46136134696505743
-158.606591,200,24.004301,0.0,0.8078928980887781
-150.102808,200,24.123299,0.0,0.930246218951393
-89.812467,200,24.244842,0.0,0.27030314622162327
-176.984783,200,24.362376,0.0,0.9630798587338987
-140.741068,200,24.48183,0.0,0.7968330567092113
-92.271296,200,24.598355,0.0,0.5188646452359581
-128.315448,200,24.714889,0.0,0.4993968491184268
-102.886233,200,24.829128,0.0,0.5056157300311481
-173.506669,200,25.320914,0.0,0.9304409642989528
-106.941978,200,25.47547,0.0,0.5920788505239494
-151.447625,200,25.601283,0.0,0.7775165716157562
-82.750346,200,25.724459,0.0,0.35625584522120846
-90.695009,200,25.843982,0.0,0.5226358546065931
-157.670398,200,25.963516,0.0,0.8754852727101001
-115.131998,200,26.082034,0.0,0.6796115791082941
-131.673506,200,26.203106,0.0,0.7233005721099338
-101.548869,200,26.323073,0.0,0.7155354483984858
-1.096076,5,26.32708,1.0,0.002351432556502438
-85.743633,200,26.452597,0.0,0.37288091757592745
-125.254221,200,26.578112,0.0,0.6913146053633735
-135.790804,200,27.077704,0.0,0.7244084048380092
-22.232648,27,27.094705,1.0,0.04817445315929259
-95.22206,200,27.22122,0.0,0.38351886916517514
-130.949731,200,27.349248,0.0,0.7422105928714295
-102.173481,200,27.470758,0.0,0.6251909475191996
-146.635616,200,27.593045,0.0,0.7252699434571793
-119.227578,200,27.732074,0.0,0.6102934482119604
-33.090485,76,27.780074,1.0,0.04162684253448005
-2.808849,21,27.794074,1.0,0.04643658056317582
-110.931918,200,27.923608,0.0,0.6573108249784113
-25.38991,37,27.949109,1.0,0.04341135504951547
-12.996774,43,27.97811,1.0,0.04514600910687202
-52.722704,89,28.037671,1.0,0.045568534146695865
-10.091323,31,28.055666,1.0,0.047195463702304465
-115.007805,200,28.175206,0.0,0.482474119056199
-111.215365,200,28.614477,0.0,0.5146553726616787
-136.498096,200,28.765505,0.0,0.8451339112374754
-92.468796,200,28.893075,0.0,0.3140529468338647
-120.47086,200,29.009833,0.0,0.6455218519196969
-115.880104,200,29.128874,0.0,0.6688756694784368
-85.540124,200,29.248413,0.0,0.3187026745283753
-80.077335,200,29.364919,0.0,0.3437973047486614
-74.813101,200,29.483469,0.0,0.38110149534840826
-105.371259,200,29.601933,0.0,0.6231432141905544
-15.380762,25,29.617938,1.0,0.04204643220507573
-91.479868,200,29.732033,0.0,0.22841601294196145
-65.378347,200,30.158118,0.0,0.24964614576850128
-79.599849,200,30.292998,0.0,0.2656340275436755
-103.240329,200,30.41707,0.0,0.497448490816639
-105.892878,200,30.546125,0.0,0.5790556134967882
-115.693985,200,30.676625,0.0,0.5672451249575935
-154.5,200,30.806174,0.0,0.8504813249823194
-96.665928,200,30.925231,0.0,0.43170087217915937
-100.964341,200,31.049623,0.0,0.4964548011039801
-84.533678,200,31.168728,0.0,0.24133369622685635
-159.823352,200,31.288283,0.0,0.8795146894342665
-92.588973,200,31.703756,0.0,0.5286718505665713
-128.093711,200,31.855784,0.0,0.8375032823714388
-91.643298,200,31.9793,0.0,0.40303513866642576
-102.629988,200,32.099822,0.0,0.4640832962707734
-104.335245,200,32.219297,0.0,0.5751480243095544
-101.476866,200,32.340423,0.0,0.5853619083490685
-95.603355,200,32.458991,0.0,0.43679267949721035
-30.304867,62,32.497967,1.0,0.03324332002273302
-119.637641,200,32.614445,0.0,0.6547337834433903
-82.309982,200,32.732447,0.0,0.27107877898688715
-125.613719,200,32.853971,0.0,0.6819205599674265
-2.498381,8,32.859969,1.0,0.04680850903163055
-145.271956,200,33.289503,0.0,0.8483063894070585
-144.236208,200,33.442522,0.0,0.8460205886535799
-13.741495,42,33.482523,1.0,0.03692049622080657
-120.662332,200,33.631137,0.0,0.6815446615627477
-74.206575,200,33.775328,0.0,0.33436770439375324
-18.844589,26,33.798096,1.0,0.015978749543174662
-114.107474,200,33.934919,0.0,0.7702443128062707
-166.827857,200,34.054069,0.0,0.8446872453180966
-90.034346,200,34.178598,0.0,0.43957102091600914
-36.741528,66,34.219596,1.0,0.048574657237815476
-11.37883,40,34.244112,1.0,0.0401224386938855
-85.933388,200,34.365635,0.0,0.14621595319791247
-103.176484,200,34.486575,0.0,0.5741056821630507
-117.472388,200,34.609088,0.0,0.5724294440159973
-137.223117,200,35.097312,0.0,0.7125169541732307
-84.009659,200,35.245383,0.0,0.4531640729426703
-93.974222,200,35.382896,0.0,0.2716562470682433
-39.020234,61,35.42739,1.0,0.047853100920481284
-67.783474,200,35.556485,0.0,0.31032741010116865
-84.196089,200,35.683979,0.0,0.4000216673793359
-107.148364,200,35.806887,0.0,0.512773801235904
-0.085062,1,35.807859,1.0,0.044920747578370064
-96.506093,200,35.929928,0.0,0.49166526438510594
-121.818196,200,36.052451,0.0,0.6666466229603649
-76.433516,200,36.196981,0.0,0.3176567785621727
-104.566456,200,36.338067,0.0,0.664470974121278
-173.2842,200,36.834735,0.0,0.850623130063512
-57.659454,200,36.970265,0.0,0.16703155064928701
-177.996642,200,37.091375,0.0,0.9849028189581703
-95.857718,200,37.221833,0.0,0.4414938977198419
-127.532489,200,37.346906,0.0,0.6893115874941127
-144.148207,200,37.464454,0.0,0.858796683039615
-78.746674,200,37.581882,0.0,0.34455545279496846
-11.252676,35,37.603891,1.0,0.049892999687791935
-155.470002,200,37.72541,0.0,0.8860857767074977
-129.033736,200,37.849339,0.0,0.7019221576628253
-23.706766,51,37.882339,1.0,0.048935651662708385
-71.381339,200,38.404688,0.0,0.32077343383205603
-57.000424,200,38.562722,0.0,0.2241641801923642
-20.488528,35,38.589721,1.0,0.03787240213255466
-99.642265,200,38.711216,0.0,0.5458741833622616
-106.310116,200,38.837267,0.0,0.6696193369633503
-194.827665,200,38.968792,0.0,0.9920626040736044
-95.267804,200,39.098323,0.0,0.5134735733854441
-76.335975,200,39.224852,0.0,0.2750262744650195
-19.70927,40,39.250381,1.0,0.03646021974450866
-100.440435,200,39.376892,0.0,0.49734428572279793
-24.33527,28,39.394876,1.0,0.032656724725921245
-105.749909,200,39.514721,0.0,0.5071541097376157
-136.588191,200,39.649345,0.0,0.7402793984348582
-18.143854,28,39.668354,1.0,0.04260905436554123
-143.546552,200,40.152343,0.0,0.8674957678758789
-111.393184,200,40.341949,0.0,0.560367608566458
-1.590401,6,40.346951,1.0,0.020628601129546658
-99.463772,200,40.484008,0.0,0.5454154270484833
-124.312106,200,40.60829,0.0,0.5643640564151046
-66.331255,200,40.728878,0.0,0.31656557823709064
-135.7746,200,40.850449,0.0,0.7246588169073502
-1.358715,5,40.854418,1.0,0.04996813735087606
-13.909711,24,40.869429,1.0,0.04897414874562789
-132.702424,200,40.989941,0.0,0.7968944018663157
-90.132337,200,41.113456,0.0,0.4134729228075431
-138.552404,200,41.231531,0.0,0.7701457772300907
-182.556542,200,41.354857,0.0,0.9083675565507477
