exp_id,train_seed,eval_seed_base,d0_bin,success_rate,mean_final_distance,mean_return,mean_ep_len,mean_tau_l1,mean_pi_value,mean_filter_intervention_rate,mean_filter_delta_tau_norm,mean_d0,episodes_in_bin,control,use_pi_reward,pi_metric,alpha_pi,safety_filter
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,"[0.087,0.642)",0.8181818181818182,0.06351076197978342,-10.63970376334875,60.03030303030303,0.0,0.0,0.0,0.0,0.4537252305637389,66,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,"[0.087,0.642)",1.0,0.046134313438471984,-7.131648660839879,30.818181818181817,0.0,0.0,0.0,0.0,0.4537252305637389,66,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,"[0.087,0.642)",0.8636363636363636,0.05774125066728128,-9.838557635734936,54.22727272727273,0.0,0.0,0.0,0.0,0.4537252305637389,66,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,"[0.642,0.924)",0.9696969696969697,0.04815326231104997,-14.00653519941441,40.04545454545455,0.0,0.0,0.0,0.0,0.7906963271951564,66,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,"[0.642,0.924)",0.9545454545454546,0.05206328714522214,-15.506972535528876,45.75757575757576,0.0,0.0,0.0,0.0,0.7906963271951564,66,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,"[0.642,0.924)",0.9545454545454546,0.050010766959041573,-14.194821942040955,42.36363636363637,0.0,0.0,0.0,0.0,0.7906963271951564,66,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,"[0.642,0.924)",1.0,0.04381044052954073,-13.804128063332833,37.40909090909091,0.0,0.0,0.0,0.0,0.7906963271951564,66,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,"[0.642,0.924)",1.0,0.04346280188277685,-13.476470126086312,36.22727272727273,0.0,0.0,0.0,0.0,0.7906963271951564,66,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,"[0.924,1.367]",1.0,0.04135379041674062,-16.473632263351305,30.808823529411764,0.0,0.0,0.0,0.0,1.0991447869486801,68,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,"[0.924,1.367]",1.0,0.03864993643390321,-18.06764446886989,34.0,0.0,0.0,0.0,0.0,1.0991447869486801,68,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,"[0.924,1.367]",0.9852941176470589,0.038296192681401754,-17.08422413776414,33.36764705882353,0.0,0.0,0.0,0.0,1.0991447869486801,68,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,"[0.924,1.367]",1.0,0.04008229731764944,-17.73580317682493,33.64705882352941,0.0,0.0,0.0,0.0,1.0991447869486801,68,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,"[0.924,1.367]",1.0,0.03944172790268133,-17.266840761811576,32.63235294117647,0.0,0.0,0.0,0.0,1.0991447869486801,68,residual,0,tau_l1,0.0,none
